track_id,track_name,artist_name,cosine_dist_mod2,predicted_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_opm acoustic_prob,predicted_opm dance_prob,predicted_opm jazz_prob,predicted_opm rap_prob,predicted_opm reggae_prob,predicted_opm rock_prob
7bkAr4WNoTuSjpuh1NRQjm,Ex,Callalily,0.01484158413544201,opm rock,0.631,0.507,0.6888781196995397,0.0263,0.455,1.74e-05,0.096,0.378,0.583387609420592,0.3187362725616556,0.0188145421830022,0.1263137400733113,0.0807517091663646,0.0170012787622318,0.438382457253434
6C2JPPYodebs3deDBizyww,Kahit Kunwari Man Lang,Agsunta,0.0149996541771098,opm acoustic,0.631,0.44,0.5511509571117035,0.0435,0.529,0.0,0.118,0.237,0.4521610566902876,0.5250313963740961,0.0159074203666911,0.1141520516418307,0.1443420223835382,0.0174867944467235,0.1830803147871206
0HZ3OUVrGHxttD2EuHqRm3,The Day You Said Goodnight,Hale,0.015122483311609036,opm acoustic,0.558,0.553,0.7471771262418222,0.0323,0.492,0.0,0.116,0.251,0.5453118486869529,0.4459403067570888,0.0200341318470467,0.0776103584234202,0.0651592322983232,0.0218859868583197,0.3693699838158009
1pi3VCMlGVaXvrjlVOkBPN,KLWKN,Music Hero,0.015249575306023333,opm acoustic,0.493,0.394,0.7312818027622972,0.0366,0.575,0.0,0.267,0.375,0.6610306377657358,0.353279947809083,0.0283948334762184,0.1571862247241723,0.0489948292739597,0.0149063588240216,0.397237805892545
74jVIbukOhR0Am7YXKiJMM,Nakikinig Ka Ba Sa Akin,Ben&Ben,0.01571047028518313,opm acoustic,0.448,0.51,0.68044584443906,0.0289,0.694,0.0,0.188,0.325,0.6861061900791997,0.3844199274779313,0.0400865463509514,0.1116771297143059,0.0372861195352571,0.020653716283897,0.4058765606376572
0rkML0CSX3wteVwUh5cspv,'Di Na Muli,The Itchyworms,0.01634961462238116,opm acoustic,0.517,0.468,0.751393263872062,0.0345,0.702,0.0,0.152,0.266,0.4607779283034598,0.5184885407318964,0.0304116301248532,0.1462505384975221,0.0529742341259035,0.0195123463417518,0.2323627101780727
0eKQS9aRwCW2J5q6uDKX7S,'Di Na Muli,The Itchyworms,0.01634961462238116,opm acoustic,0.517,0.468,0.751393263872062,0.0345,0.702,0.0,0.152,0.266,0.4607779283034598,0.5184885407318964,0.0304116301248532,0.1462505384975221,0.0529742341259035,0.0195123463417518,0.2323627101780727
7DpfL3u92JKKTys5w7jfY7,Starting over Again,Toni Gonzaga,0.01767528780294092,opm acoustic,0.535,0.441,0.756287860431306,0.0293,0.474,1.21e-06,0.108,0.256,0.4505002084201751,0.4901281209047745,0.0167768548745698,0.0846731090057544,0.0459901440025388,0.0125870585621417,0.3498447126502201
7DUmSBR4QzlTdlsIVo62ra,Araw-Araw,Ben&Ben,0.017960975314214478,opm acoustic,0.475,0.424,0.6637751393263872,0.0295,0.582,0.0,0.234,0.224,0.5885590350145894,0.574694426980464,0.0226265062647902,0.0894061628857855,0.0359831881307802,0.0109419959205665,0.2663477198176133
7D4rSZoga8hqJqNOVcPde1,If We Fall in Love,Yeng Constantino,0.01814162769603367,opm acoustic,0.568,0.382,0.5903077295856555,0.0285,0.782,1.03e-05,0.0945,0.3,0.5832312942892872,0.5385241640783649,0.0305420745293726,0.1987326815083125,0.041641923515794,0.0180523455021945,0.1725068108659617
0zFYa7NIpKhmom8zrZx7Ga,Why Can't It Be,Kaye Cal,0.01827210492892284,opm acoustic,0.563,0.314,0.6225345287133511,0.0312,0.612,1.14e-05,0.124,0.272,0.5031588682784494,0.6123798835887383,0.0214602757790958,0.1110915180913258,0.0375507317168308,0.0093875616146621,0.2081300292093472
1wv76JKLy8fgpIa4n6JuMa,This Time (Original Movie Soundtrack),James Reid,0.018673221119316685,opm acoustic,0.552,0.491,0.693530409498425,0.0306,0.687,0.0,0.139,0.222,0.4919106919549811,0.5827789604502098,0.0276840833135121,0.1225801821725701,0.0534199408742734,0.0235103910859964,0.1900264421034377
0Vmk6Ebk4QBq7r0VAz2a6s,Bakit Ba Ikaw,Michael Pangilinan,0.018711684558855524,opm acoustic,0.668,0.48,0.8053307487278895,0.0284,0.549,0.0,0.112,0.277,0.451783295122968,0.5422716705466122,0.0188940185581709,0.1059826921374704,0.0985116125682201,0.0170471312875814,0.2172928749019445
0en1kxNAvVQxLpbteRTG7L,Ulap,Rob Deniel,0.018938917851973325,opm acoustic,0.655,0.385,0.6358129391810031,0.0355,0.398,0.00564,0.112,0.429,0.4525192788661942,0.3193177756472973,0.0162174073880332,0.1669215118351106,0.1104274201280634,0.0149330344449354,0.37218285055656
1OrPpim6Gl4rmRrHlyUjCn,Ulap,Rob Deniel,0.018938917851973325,opm acoustic,0.655,0.385,0.6358129391810031,0.0355,0.398,0.00564,0.112,0.429,0.4525192788661942,0.3193177756472973,0.0162174073880332,0.1669215118351106,0.1104274201280634,0.0149330344449354,0.37218285055656
459mgeXCLhqviFmgP2pYOo,Ikaw At Ako (Movie Version),Moira Dela Torre,0.019264494159259238,opm acoustic,0.534,0.486,0.5917615701478073,0.0316,0.666,1.32e-06,0.4,0.369,0.556768445185494,0.3672950572807358,0.030835167930293,0.1840171745833614,0.0464816038751524,0.0224830235935445,0.3488879727369131
6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,Skusta Clee,0.01939643977339922,opm jazz,0.677,0.433,0.6575720862612068,0.037,0.545,0.0,0.105,0.498,0.5436379741558983,0.2719937055789569,0.018801444881799,0.303558542355728,0.1067584384562832,0.0203032717014875,0.2785845970257453
2Hyctbbu32vH8L4kJfVi0O,Pangarap Lang Kita,Parokya Ni Edgar,0.019534480685310496,opm acoustic,0.728,0.334,0.5564332444875213,0.0332,0.462,7.81e-06,0.115,0.401,0.4396102542726137,0.4827678919606285,0.0173072181741221,0.1228414806164964,0.1438685196567528,0.0130155252492682,0.2201993643427318
6c1MgHPPSxYnBCA2PbJEUN,Mahal Ko O Mahal Ako,KZ Tandingan,0.019551388980107665,opm acoustic,0.69,0.361,0.7588563120911074,0.0376,0.61,4.55e-05,0.139,0.264,0.6330306898707795,0.5937494124279196,0.0190791964562499,0.1174268968168817,0.1096306114043881,0.0170675315886117,0.1430463513059488
7h4W9blGxYCkKJ3dxPZ84j,Dulo Ng Hangganan,IV Of Spades,0.020522376031211764,opm rock,0.565,0.565,0.6574751635570634,0.0368,0.494,0.00262,0.127,0.35,0.5568987077949146,0.2745479379874773,0.0224896610295975,0.1173430955735082,0.0761392383094009,0.0251307413424822,0.4843493257575341
